"","noise_price","noise_demand","cost","time","emotion","price","mu0","mut","structural","outcome","price_sensitive","price_category","ps_low","ps_medium","ps_high","predicted_treatment"
"3",-0.85827633111627,-1.53780520841075,0.0794198359949286,11.580825611872,4,38.2081932411541,282.715840274188,904.423667133485,904.423667133485,902.885861925074,4.56789600685471,"high",0.00481545588393702,0.0236165683130963,0.992041784424414,"high"
"4",-0.481418386414639,-1.58244266652303,-0.0315573596421247,11.4054916762143,7,36.0739071124157,372.490623170878,1283.3229518731,1283.3229518731,1281.74050920658,3.8927231881554,"high",0.00481545588393702,0.0236165683130963,0.994367078747698,"high"
"11",0.627512645100776,-1.05639762017906,-0.112919341271132,11.6545221319844,5,39.6801441881514,343.370955026206,1229.7101253147,1229.7101253147,1228.65372769452,4.86741910052412,"high",0.00608595780532543,0.0236165683130963,0.994833500150609,"high"
"18",0.244143656123776,0.893037547301084,-0.0206063069723991,7.17745686779309,3,17.8267197599525,25.3127515823482,-143.4835526559,-143.4835526559,-142.590515108599,-2.48957494725506,"medium",0.290584513269478,0.679080154109464,0.00912083492674514,"medium"
"19",0.304445828222894,0.320075408967215,-2.33799292863123,7.56246174577203,7,23.7528398796871,-64.0653417386314,-501.272800710391,-501.272800710391,-500.952725301423,-2.34379059626616,"high",0.017249744544927,0.0826092662949713,0.973867150921183,"high"
"21",-0.0100106627707043,-0.00925079340791054,-1.03483520068924,8.31885583600437,3,21.1936660205358,42.0457258644426,-123.167959225787,-123.167959225787,-123.177210019195,-1.93180913785191,"medium",0.0143028557929172,0.727001695479059,0.282274550318701,"medium"
"23",-1.05288606716884,1.1165593645511,0.739299736395623,6.55975884023533,2,13.9699132773642,46.6359941228773,-55.8528858554668,-55.8528858554668,-54.7363264909157,-2.66820029385613,"low",0.937752547359822,0.165407333897985,0.00561918993702192,"low"
"26",1.24291441410298,0.886439703015421,-0.571342227014607,8.05986100131206,1,21.1528746428849,79.0417578473345,-7.59669833749106,-7.59669833749106,-6.71025863447564,-2.09582421526655,"medium",0.0168657983067068,0.838276605490634,0.0336574543636363,"medium"
"27",1.12550622301312,-0.368995375581809,1.54884022108716,4.05488761644436,1,11.8866490114367,68.697829513622,7.71674010397558,7.71674010397558,7.34774472839377,-3.1302170486378,"low",0.991085891533863,0.0149367010845505,0.00467100285039636,"low"
"51",-1.08373570503591,-0.804465435882796,0.254195604103907,10.0752353349719,3,24.6537668767297,106.798939014319,74.2533510076715,74.2533510076715,73.4488855717887,0.226631300477296,"high",0.00441324529151229,0.025883833331345,0.991268296296823,"high"
"54",0.594469897543518,-0.476797328176111,1.6411840706065,1.2916086008087,5,11.1544870528024,-55.5635655154496,-251.395717364041,-251.395717364041,-251.872514692217,-3.11127131030899,"low",0.991234782781841,0.0102332182073083,0.00467100285039636,"low"
"59",0.330141366299388,-1.27498717221165,-0.251520562211101,10.878065597767,5,31.2531219844858,207.750135161123,481.996702995693,481.996702995693,480.721715823481,2.15500270322246,"high",0.00683484179272369,0.0190158457233969,0.994833500150609,"high"
"63",2.70887002742434,1.07893054458289,0.482895522654579,7.32963043134886,5,19.2249090481374,-21.7946522383866,-294.393581517912,-294.393581517912,-293.314650973329,-2.43589304476773,"medium",0.582720742965163,0.465314369079904,0.0076639976464782,"low"
"65",1.71411326050271,1.44307004832186,-0.803115326576242,11.0215663339686,4,32.3969266334243,203.470399546557,473.888840563801,473.888840563801,475.331910612123,2.58675998866394,"high",0.00683484179272369,0.0172120218336238,0.994952389477793,"high"
"73",0.866932245298004,1.01637670994504,0.241966787525029,6.14062659032002,1,16.9345207025148,72.4475538208633,-8.0802346067178,-8.0802346067178,-7.06385789677276,-2.75524461791367,"low",0.815471064111309,0.30306894393043,0.0071616693825911,"low"
"79",-0.359772752805891,0.443438614605131,-0.0376634633415717,2.44010815692423,6,14.660598360972,-102.130219090084,-427.786411681526,-427.786411681526,-427.342973066921,-3.36883698483473,"low",0.9549961608937,0.0959260242087011,0.00795204214159237,"low"
"81",1.40033438202772,-0.0239065794955993,-0.128797856178574,6.07283987671839,3,18.472969534326,17.1702536016767,-172.786823642193,-172.786823642193,-172.810730221689,-2.76099154661078,"medium",0.516439141553046,0.471262393590826,0.00895213384253677,"low"
"87",-0.67160934820389,0.0212068858497947,-1.83287595358926,6.25846077464089,3,21.1346717376152,17.9079826860921,-197.860144609945,-197.860144609945,-197.838937724095,-2.73640057713027,"medium",0.0169905422661324,0.278500403267006,0.719499218226566,"high"
"112",1.44353159395366,0.56309296253646,-0.317198908546049,5.67952385283396,7,19.6078383760931,-78.3578092220456,-467.294595608223,-467.294595608223,-466.731502645687,-2.54796870317208,"medium",0.10915853895268,0.784195876000053,0.00950856930602046,"medium"
"114",0.313976302963478,0.380913414892632,-1.50140786843741,10.5274429974874,7,27.1378105866681,185.192226203807,362.109654848021,362.109654848021,362.490568262914,1.21703180291153,"high",0.00683484179272369,0.00667923662205829,0.994856530936618,"high"
"115",-0.80103295115979,-0.209193701950965,0.507185121124409,5.13643989929754,3,20.2841490188182,66.5131617395184,-41.9803380425852,-41.9803380425852,-42.1895317445361,-1.11622794201605,"medium",0.00456350891024205,0.399052947812091,0.347823355649114,"medium"
"116",0.58688806069376,-1.13187322582504,-1.37802873302997,9.81367405035263,3,25.185379359663,92.5736902519716,23.4994887079996,23.4994887079996,22.3676154821745,-0.247543658267614,"high",0.00683484179272369,0.0107454905317009,0.994961022940183,"high"
"130",1.3156464145308,1.24759133827524,0.00169842085677187,7.68450549767437,4,19.4418068356285,8.40066368905528,-208.568610265118,-208.568610265118,-207.321018926843,-2.28998340777362,"medium",0.122256054257776,0.77029920578837,0.011475529594888,"medium"
"138",0.6131251465796,0.110335791831253,1.62038229141833,11.2488293096876,1,41.0092513250623,133.322191124918,187.955499529145,187.955499529145,188.065835320976,3.33221911249178,"high",0.0222227841044792,0.0223234450325379,0.980186749494921,"high"
"139",0.0189267374803851,-0.160454977523349,0.623401763847898,1.41678796269413,1,13.5431023128498,68.3285896167259,-1.65053013026708,-1.65053013026708,-1.81098510779043,-3.16714103832741,"low",0.979710529405263,0.0505824030919549,0.00496304267608391,"low"
"149",-0.945425377577379,-0.171229009614383,-1.23514585256689,9.85953228830609,3,23.7559772761752,94.9242715606543,35.3544280617908,35.3544280617908,35.1831990521764,-0.169190947978189,"high",0.00683484179272369,0.0107454905317009,0.994909677701865,"high"
"153",1.36641607622784,-0.101068890231313,0.390423454861305,2.00492902951781,7,15.0736469426034,-133.154899344585,-514.751656795644,-514.751656795644,-514.852725685875,-3.33078427635122,"low",0.974338277005043,0.0441815115146963,0.00656643379858094,"low"
"160",0.994696373628736,0.550448976521837,-0.0216187089153604,10.0581926445604,1,26.5715074779402,101.93665970854,53.9396415454309,53.9396415454309,54.4900905219528,0.193665970854045,"high",0.00481545588393702,0.0236165683130963,0.994367078747698,"high"
"163",-0.106694464263373,-0.996107167206205,-0.546640128637384,7.54861533134099,5,19.1287902840345,-17.4820563218155,-280.468598641599,-280.468598641599,-281.464705808805,-2.34964112643631,"medium",0.0421610145646937,0.830662182845521,0.015240610835232,"medium"
